"x";"predicted";"std.error";"conf.low";"conf.high";"group";"shade_treelevel";"response"
-1,6;0,8809894861266;0,582226809581375;0,281435168628689;2,75780201332838;"Control";24,3513367213281;"Medium pods *"
-1,6;2,49952453764753;0,466449245875136;1,00187856861788;6,23590833260449;"Exclosure";24,3513367213281;"Medium pods *"
-1,4;0,925069481781564;0,531623466428;0,326328976399056;2,6223645707672;"Control";28,6172672536404;"Medium pods *"
-1,4;2,21548262969568;0,424323373798754;0,964458708193832;5,08924149969605;"Exclosure";28,6172672536404;"Medium pods *"
-1,2;0,971355004344102;0,482591934250655;0,377220236303916;2,50127234347034;"Control";32,8831977859528;"Medium pods *"
-1,2;1,96371878273413;0,385206089743521;0,922977844256476;4,17798919189576;"Exclosure";32,8831977859528;"Medium pods *"
-1;1,01995640656874;0,435663233054966;0,434254566340657;2,39562494429714;"Control";37,1491283182652;"Medium pods *"
-1;1,74056497034801;0,350107293623104;0,876351572491788;3,45702171491336;"Exclosure";37,1491283182652;"Medium pods *"
-0,8;1,07098956267084;0,39159410485;0,497118278618567;2,30733548268894;"Control";41,4150588505776;"Medium pods *"
-0,8;1,54276999468552;0,32035056105735;0,823414085283377;2,89057389112166;"Exclosure";41,4150588505776;"Medium pods *"
-0,6;1,1245761445909;0,351461869846348;0,564708052547345;2,23951385017113;"Control";45,68098938289;"Medium pods *"
-0,6;1,36745211873709;0,297542982341186;0,763208296477176;2,4500851283585;"Exclosure";45,68098938289;"Medium pods *"
-0,4;1,18084391208174;0,316766414955499;0,634688214005746;2,19697217299814;"Control";49,9469199152023;"Medium pods *"
-0,4;1,21205708140553;0,283367517828489;0,695536947119264;2,112155759187;"Exclosure";49,9469199152023;"Medium pods *"
-0,2;1,23992701730994;0,289469324828864;0,703071327716666;2,18671839918168;"Control";54,2128504475147;"Medium pods *"
-0,2;1,0743208836753;0,279142353341687;0,62162377457448;1,85669436773223;"Exclosure";54,2128504475147;"Medium pods *"
0;1,30196632469804;0,271808813461315;0,764250391533876;2,21801170064902;"Control";58,4787809798271;"Medium pods *"
0;0,952236803701097;0,285309894933657;0,544363176920563;1,66571687573056;"Exclosure";58,4787809798271;"Medium pods *"
0,2;1,36710974676989;0,265713350847992;0,812134135938347;2,30133050318563;"Control";62,7447115121395;"Medium pods *"
0,2;0,844026160248165;0,30123246557109;0,467677383250653;1,5232298689147;"Exclosure";62,7447115121395;"Medium pods *"
0,4;1,43551259679983;0,271961672387377;0,842389243335429;2,44625205256859;"Control";67,0106420444518;"Medium pods *"
0,4;0,748112398527788;0,325481550829052;0,39529057004812;1,41585001828622;"Exclosure";67,0106420444518;"Medium pods *"
0,6;1,5073379591067;0,289756329286972;0,854219736440759;2,65981646880564;"Control";71,2765725767642;"Medium pods *"
0,6;0,663098120876302;0,356361419061036;0,32979373965053;1,33325489554658;"Exclosure";71,2765725767642;"Medium pods *"
0,8;1,5827570778752;0,317159773869941;0,850055683355589;2,94700690391846;"Control";75,5425031090766;"Medium pods *"
0,8;0,587744727630458;0,39230939513268;0,27242965437496;1,26801124367301;"Exclosure";75,5425031090766;"Medium pods *"
1;1,66194976543195;0,351934548809653;0,833778441177175;3,31272300459059;"Control";79,808433641389;"Medium pods *"
1;0,520954371580616;0,432062312025254;0,22337140709828;1,21498745427854;"Exclosure";79,808433641389;"Medium pods *"
1,2;1,74510483094936;0,392124398393835;0,809179045446413;3,76355627118681;"Control";84,0743641737014;"Medium pods *"
1,2;0,461753963090574;0,474665146060788;0,182127248582682;1,17070193553742;"Exclosure";84,0743641737014;"Medium pods *"
1,4;1,83242053059967;0,436235227452862;0,779293493431644;4,30872967535907;"Control";88,3402947060137;"Medium pods *"
1,4;0,409280992849596;0,519417115376722;0,147874376388976;1,13279213883088;"Exclosure";88,3402947060137;"Medium pods *"
1,6;1,92410504023216;0,483194387603192;0,746333556700399;4,96049008196073;"Control";92,6062252383261;"Medium pods *"
1,6;0,362770965703857;0,565808499456048;0,119678311488943;1,09963761955204;"Exclosure";92,6062252383261;"Medium pods *"
-2,2;1,92030931232266;0,610290335771445;0,580618824750158;6,35113382102258;"Control";11,5535451243909;"Large pods *"
-2,2;7,0812031453895;0,535858880342479;2,47732592598647;20,2409531423715;"Exclosure";11,5535451243909;"Large pods *"
-2;2,01629276341789;0,569856489364216;0,659919358250842;6,16050500259162;"Control";15,8194756567033;"Large pods *"
-2;6,52614820619441;0,498527316629007;2,45646008096368;17,3382057942932;"Exclosure";15,8194756567033;"Large pods *"
-1,8;2,11707378687558;0,53029368245314;0,748771307266919;5,98580818412421;"Control";20,0854061890157;"Large pods *"
-1,8;6,01460084321192;0,462514842498954;2,42948075483315;14,8901872267146;"Exclosure";20,0854061890157;"Large pods *"
-1,6;2,2228921813309;0,491812166862138;0,847787722448904;5,82840435050043;"Control";24,3513367213281;"Large pods *"
-1,6;5,54315074684159;0,428154437045134;2,39503007820283;12,8292836410919;"Exclosure";24,3513367213281;"Large pods *"
-1,4;2,33399973135298;0,454686564506;0,957350341046157;5,69024160998668;"Control";28,6172672536404;"Large pods *"
-1,4;5,1086549221115;0,395876511950544;2,35145065847312;11,0988317016869;"Exclosure";28,6172672536404;"Large pods *"
-1,2;2,45066080654177;0,419277215044681;1,07744173158644;5,5740725578515;"Control";32,8831977859528;"Large pods *"
-1,2;4,70821673541614;0,366232100982304;2,29677851621428;9,65147691480081;"Exclosure";32,8831977859528;"Large pods *"
-1;2,57315299056978;0,386056654927351;1,20740671859376;5,4837497679238;"Control";37,1491283182652;"Large pods *"
-1;4,3391666036606;0,339910928316208;2,22881293013485;8,447710689288;"Exclosure";37,1491283182652;"Large pods *"
-0,8;2,70176774166537;0,355638784747228;1,34563640982328;5,42460717963348;"Control";41,4150588505776;"Large pods *"
-0,8;3,99904419707207;0,317739948559746;2,14533673528956;7,45447286995592;"Exclosure";41,4150588505776;"Large pods *"
-0,6;2,83681108610927;0,328802366572979;1,48920104953211;5,40390240847662;"Control";45,68098938289;"Large pods *"
-0,6;3,68558203703087;0,300638751587024;2,04456966652785;6,64370364779624;"Exclosure";45,68098938289;"Large pods *"
-0,4;2,97860434639433;0,306489631074552;1,63353472870267;5,4312183857917;"Control";49,9469199152023;"Large pods *"
-0,4;3,39669037957368;0,289507152457324;1,9258702580548;5,99080103471855;"Exclosure";49,9469199152023;"Large pods *"
-0,2;3,12748490578109;0,289747542341874;1,77239969712522;5,51859823252808;"Control";54,2128504475147;"Large pods *"
-0,2;3,13044328379218;0,285045385886498;1,79050182270458;5,4731444719989;"Exclosure";54,2128504475147;"Large pods *"
0;3,28380701106842;0,279578663840454;1,89845293824535;5,68009259998233;"Control";58,4787809798271;"Large pods *"
0;2,8850657722502;0,287564081605312;1,64202864244924;5,06909824532305;"Exclosure";58,4787809798271;"Large pods *"
0,2;3,44794261548928;0,276708631779331;2,00458840886689;5,93054824976613;"Control";62,7447115121395;"Large pods *"
0,2;2,65892199782215;0,296885631796018;1,48592226124826;4,7578977547341;"Exclosure";62,7447115121395;"Large pods *"
